id,name,description,synthesis_type,key_feature,genre_tags,weirdness_level
717,Bacterial Processor,Bacterial patterns drive oscillator and modulation parameters,hybrid,spectral morphing,Generative;Experimental;Psychoacoustic,6
718,Viral Synth,Feedback network simulating viral dynamics,noise,stochastic triggering,Ambient;Dark;Organic,7
719,Parasite Filter,Physical modeling of parasite acoustic properties,sample_based,fractal generation,Dark;Organic;Ambient,8
720,Symbiosis Synth,Hybrid synthesis combining multiple symbiosis characteristics,physical_modeling,envelope shaping,Ambient;Organic;Electronic,9
721,Metamorphosis Modulator,Physical modeling of metamorphosis acoustic properties,fm,fractal generation,Electronic;Generative;Meditative,2
722,Cocoon Synth,Additive synthesis recreating cocoon spectra,feedback,convolution,Dark;Experimental;Electronic,3
723,Egg Synth,Additive synthesis recreating egg spectra,granular,bit crushing,Ambient;Experimental;Electronic,7
724,Birth Synth,Birth-inspired synthesis with unique timbral characteristics,wavetable,time stretching,Dark;Psychoacoustic;Meditative,8
725,Decay Oscillator,Models decay behavior using advanced DSP techniques,additive,fractal generation,Dark;Psychoacoustic;Organic,3
726,Decomposition Filter,Decomposition-inspired synthesis with unique timbral characteristics,subtractive,phase distortion,Generative;Dark;Ambient,5
727,Fossil Synth,Feedback network simulating fossil dynamics,hybrid,convolution,Meditative;Ambient;Electronic,3
728,Evolution Synth,Evolution-inspired synthesis with unique timbral characteristics,noise,fractal generation,Electronic;Experimental;Psychoacoustic,2
729,Mutation Synth,Wavetable morphing based on mutation waveforms,sample_based,convolution,Organic;Ambient;Dark,2
730,Adaptation Processor,Hybrid synthesis combining multiple adaptation characteristics,physical_modeling,harmonic excitation,Generative;Dark;Electronic,2
731,Axon Generator,Physical modeling of axon acoustic properties,fm,ring modulation,Generative;Ambient;Psychoacoustic,6
732,Dendrite Synth,FM synthesis capturing dendrite harmonic relationships,feedback,oscillator coupling,Meditative;Organic;Dark,8
733,Ganglion Synth,Physical modeling of ganglion acoustic properties,granular,oscillator coupling,Generative;Ambient;Meditative,2
734,Glial Filter,Hybrid synthesis combining multiple glial characteristics,wavetable,wavetable scanning,Generative;Dark;Experimental,8
735,Vesicle Synth,Hybrid synthesis combining multiple vesicle characteristics,additive,modulation matrix,Ambient;Dark;Organic,2
736,Receptor Engine,Feedback network simulating receptor dynamics,subtractive,wavefolding,Experimental;Psychoacoustic;Generative,3
737,Neurotransmitter Processor,Models neurotransmitter behavior using advanced DSP techniques,hybrid,recursive feedback,Organic;Ambient;Psychoacoustic,8
738,Soma Synth,Hybrid synthesis combining multiple soma characteristics,noise,phase distortion,Electronic;Generative;Organic,9
739,Neuropeptide Synth,Additive synthesis recreating neuropeptide spectra,sample_based,spectral morphing,Experimental;Ambient;Meditative,2
740,Potassium Synth,Wavetable morphing based on potassium waveforms,physical_modeling,envelope shaping,Organic;Electronic;Experimental,6
741,Calcium Synth,Wavetable morphing based on calcium waveforms,fm,modulation matrix,Organic;Ambient;Meditative,5
742,GABA Synth,Granular processing inspired by gaba textures,feedback,pattern sequencing,Generative;Organic;Dark,5
743,Glutamate Synth,Glutamate patterns drive oscillator and modulation parameters,granular,spectral blur,Organic;Dark;Electronic,3
744,Dopamine Processor,Hybrid synthesis combining multiple dopamine characteristics,wavetable,formant filtering,Organic;Ambient;Psychoacoustic,5
745,Serotonin Modulator,Wavetable morphing based on serotonin waveforms,additive,harmonic series,Generative;Meditative;Electronic,3
746,Cortisol Engine,Hybrid synthesis combining multiple cortisol characteristics,subtractive,harmonic series,Psychoacoustic;Organic;Ambient,6
747,Adrenaline Sequencer,Hybrid synthesis combining multiple adrenaline characteristics,hybrid,wavefolding,Ambient;Organic;Experimental,7
748,Melatonin Modulator,Granular processing inspired by melatonin textures,noise,harmonic series,Meditative;Experimental;Organic,4
749,Endorphin Processor,Granular processing inspired by endorphin textures,sample_based,pattern sequencing,Ambient;Psychoacoustic;Experimental,3
750,Oxytocin Processor,Oxytocin patterns drive oscillator and modulation parameters,physical_modeling,spectral blur,Experimental;Generative;Psychoacoustic,5
751,Insulin Engine,Feedback network simulating insulin dynamics,fm,pattern sequencing,Experimental;Psychoacoustic;Dark,8
752,Cortex Resonator,Feedback network simulating cortex dynamics,feedback,formant filtering,Psychoacoustic;Meditative;Electronic,7
753,Cerebellum Filter,Cerebellum-inspired synthesis with unique timbral characteristics,granular,formant filtering,Meditative;Organic;Dark,3
754,Hippocampus Synth,Physical modeling of hippocampus acoustic properties,wavetable,pattern sequencing,Experimental;Electronic;Psychoacoustic,5
755,Amygdala Synth,Hybrid synthesis combining multiple amygdala characteristics,additive,time stretching,Generative;Meditative;Electronic,7
756,Thalamus Filter,Wavetable morphing based on thalamus waveforms,subtractive,sample rate reduction,Experimental;Meditative;Organic,9
757,Pineal Sequencer,Hybrid synthesis combining multiple pineal characteristics,hybrid,spectral morphing,Experimental;Ambient;Generative,9
758,Pituitary Processor,FM synthesis capturing pituitary harmonic relationships,noise,pitch shifting,Electronic;Experimental;Organic,7
759,Hypothalamus Synth,Additive synthesis recreating hypothalamus spectra,sample_based,harmonic excitation,Meditative;Dark;Experimental,6
760,Cerebral Synth,Hybrid synthesis combining multiple cerebral characteristics,physical_modeling,convolution,Ambient;Psychoacoustic;Experimental,7
761,Nerve Synth,Feedback network simulating nerve dynamics,fm,time stretching,Electronic;Organic;Generative,3
762,Glial Scar Generator,Glial Scar-inspired synthesis with unique timbral characteristics,feedback,formant filtering,Organic;Experimental;Psychoacoustic,8
763,White Matter Processor,FM synthesis capturing white matter harmonic relationships,granular,modulation matrix,Experimental;Dark;Psychoacoustic,2
764,Gray Matter Processor,Additive synthesis recreating gray matter spectra,wavetable,stochastic triggering,Electronic;Organic;Dark,8
765,Synaptogenesis Synth,Additive synthesis recreating synaptogenesis spectra,additive,time stretching,Organic;Generative;Meditative,5
766,Myelin Resonator,FM synthesis capturing myelin harmonic relationships,subtractive,harmonic series,Generative;Dark;Meditative,6
767,Membrane Synth,FM synthesis capturing membrane harmonic relationships,hybrid,oscillator coupling,Meditative;Dark;Electronic,8
768,Vesicular Oscillator,Additive synthesis recreating vesicular spectra,noise,formant filtering,Dark;Experimental;Ambient,2
769,Retrograde Synth,Physical modeling of retrograde acoustic properties,sample_based,convolution,Electronic;Organic;Psychoacoustic,9
770,Presynaptic Synth,Presynaptic-inspired synthesis with unique timbral characteristics,physical_modeling,fractal generation,Organic;Meditative;Psychoacoustic,7
771,Postsynaptic Modulator,Granular processing inspired by postsynaptic textures,fm,wavefolding,Psychoacoustic;Meditative;Generative,8
772,Heterosynaptic Generator,Physical modeling of heterosynaptic acoustic properties,feedback,frequency shifting,Psychoacoustic;Organic;Ambient,2
773,Homosynaptic Synth,FM synthesis capturing homosynaptic harmonic relationships,granular,fractal generation,Dark;Generative;Ambient,7
774,Neuromuscular Engine,Feedback network simulating neuromuscular dynamics,wavetable,harmonic mapping,Organic;Ambient;Meditative,3
775,Motor Neuron Synth,Models motor neuron behavior using advanced DSP techniques,additive,harmonic excitation,Dark;Electronic;Psychoacoustic,6
776,Proprioception Synth,Physical modeling of proprioception acoustic properties,subtractive,envelope shaping,Organic;Ambient;Dark,4
777,Cutaneous Sequencer,Additive synthesis recreating cutaneous spectra,hybrid,physical resonance,Generative;Organic;Ambient,2
778,Nociception Modulator,Feedback network simulating nociception dynamics,noise,wavetable scanning,Psychoacoustic;Meditative;Experimental,8
779,Thermoreception Sequencer,Thermoreception-inspired synthesis with unique timbral characteristics,sample_based,recursive feedback,Electronic;Ambient;Dark,5
780,Chemoreception Synth,Hybrid synthesis combining multiple chemoreception characteristics,physical_modeling,wavetable scanning,Experimental;Psychoacoustic;Dark,7
781,Photoreception Resonator,Granular processing inspired by photoreception textures,fm,pitch shifting,Organic;Experimental;Electronic,7
782,Equilibrium Generator,Feedback network simulating equilibrium dynamics,feedback,filter topology,Generative;Ambient;Electronic,5
783,Temporal Bone Synth,Physical modeling of temporal bone acoustic properties,granular,harmonic mapping,Generative;Ambient;Psychoacoustic,8
784,Cochlear Synth,FM synthesis capturing cochlear harmonic relationships,wavetable,fractal generation,Ambient;Psychoacoustic;Generative,8
785,Hair Cell Synth,FM synthesis capturing hair cell harmonic relationships,additive,convolution,Experimental;Generative;Meditative,2
786,Vestibular Generator,Physical modeling of vestibular acoustic properties,subtractive,harmonic mapping,Generative;Dark;Ambient,4
787,Organ of Corti Synth,Hybrid synthesis combining multiple organ of corti characteristics,hybrid,phase distortion,Generative;Ambient;Dark,4
788,Endolymph Resonator,Endolymph-inspired synthesis with unique timbral characteristics,noise,harmonic mapping,Dark;Organic;Meditative,7
789,Perilymph Modulator,Granular processing inspired by perilymph textures,sample_based,phase distortion,Organic;Psychoacoustic;Experimental,2
790,Stapes Processor,Wavetable morphing based on stapes waveforms,physical_modeling,spectral blur,Electronic;Experimental;Dark,9
791,Ossicle Synth,Models ossicle behavior using advanced DSP techniques,fm,physical resonance,Generative;Dark;Ambient,8
792,Ear Canal Synth,Ear Canal patterns drive oscillator and modulation parameters,feedback,chaos modulation,Meditative;Experimental;Electronic,8
793,Tympanum Sequencer,Models tympanum behavior using advanced DSP techniques,granular,phase distortion,Ambient;Dark;Experimental,4
794,Auditory Cortex Synth,FM synthesis capturing auditory cortex harmonic relationships,wavetable,sample rate reduction,Experimental;Dark;Ambient,3
795,Helix Modulator,Physical modeling of helix acoustic properties,additive,wavetable scanning,Meditative;Organic;Electronic,3
796,Ribosome Generator,Wavetable morphing based on ribosome waveforms,subtractive,comb filtering,Meditative;Psychoacoustic;Dark,7
797,Mitochondria Oscillator,Granular processing inspired by mitochondria textures,hybrid,convolution,Ambient;Meditative;Generative,7
798,Synapse Synth,Physical modeling of synapse acoustic properties,noise,bit crushing,Experimental;Meditative;Electronic,3
799,Heartbeat Synth,Physical modeling of heartbeat acoustic properties,sample_based,chaos modulation,Experimental;Generative;Electronic,5
800,Breathing Sequencer,Granular processing inspired by breathing textures,physical_modeling,time stretching,Generative;Psychoacoustic;Ambient,3
801,Escher Synth,Additive synthesis recreating escher spectra,fm,envelope shaping,Surreal;Glitch;Weird,10
802,Paradox Synth,Feedback network simulating paradox dynamics,granular,filter topology,Ambient;Abstract;Glitch,7
803,Hypnagogic Synth,FM synthesis capturing hypnagogic harmonic relationships,hybrid,harmonic mapping,Unsettling;Abstract;Surreal,9
804,Hallucination Resonator,Additive synthesis recreating hallucination spectra,additive,pattern sequencing,Weird;Ambient;Psychoacoustic,7
805,Synesthetic Synth,Feedback network simulating synesthetic dynamics,noise,recursive feedback,Abstract;Ambient;Experimental,6
806,Temporal Synth,Additive synthesis recreating temporal spectra,feedback,stochastic triggering,Glitch;Ambient;Abstract,7
807,Parallel Filter,FM synthesis capturing parallel harmonic relationships,wavetable,harmonic series,Unsettling;Ambient;Experimental,6
808,Glitch Reality Filter,Glitch Reality-inspired synthesis with unique timbral characteristics,subtractive,formant filtering,Psychoacoustic;Ambient;Glitch,8
809,Inverted Synth,Models inverted behavior using advanced DSP techniques,physical_modeling,phase distortion,Abstract;Psychoacoustic;Unsettling,7
810,Recursive Generator,Hybrid synthesis combining multiple recursive characteristics,sample_based,pattern sequencing,Psychoacoustic;Experimental;Ambient,6
811,Impossible Synth,Hybrid synthesis combining multiple impossible characteristics,fm,harmonic mapping,Abstract;Ambient;Psychoacoustic,6
812,Ego Death Synth,Granular processing inspired by ego death textures,granular,harmonic mapping,Surreal;Abstract;Glitch,6
813,Consciousness Synth,Physical modeling of consciousness acoustic properties,hybrid,chaos modulation,Abstract;Surreal;Unsettling,9
814,Rebirth Synth,Rebirth-inspired synthesis with unique timbral characteristics,additive,chaos modulation,Surreal;Glitch;Unsettling,7
815,Memory Decay Filter,Additive synthesis recreating memory decay spectra,noise,phase distortion,Abstract;Unsettling;Experimental,7
816,Uncanny Valley Synth,Additive synthesis recreating uncanny valley spectra,feedback,feedback routing,Weird;Glitch;Unsettling,6
817,Liminal Synth,Feedback network simulating liminal dynamics,wavetable,harmonic series,Ambient;Glitch;Unsettling,8
818,Cosmic Horror Synth,Hybrid synthesis combining multiple cosmic horror characteristics,subtractive,harmonic mapping,Abstract;Unsettling;Surreal,9
819,Abstract Synth,Physical modeling of abstract acoustic properties,physical_modeling,sample rate reduction,Psychoacoustic;Surreal;Unsettling,7
820,Color-Sound Synth,Additive synthesis recreating color-sound spectra,sample_based,time stretching,Abstract;Ambient;Experimental,10
821,Taste-Timbre Processor,FM synthesis capturing taste-timbre harmonic relationships,fm,spectral freeze,Weird;Unsettling;Glitch,10
822,Thought Filter,Additive synthesis recreating thought spectra,granular,pattern sequencing,Experimental;Surreal;Glitch,8
823,Memetic Filter,Additive synthesis recreating memetic spectra,hybrid,chaos modulation,Unsettling;Weird;Experimental,7
824,Infinite Regression Engine,Physical modeling of infinite regression acoustic properties,additive,harmonic excitation,Weird;Surreal;Unsettling,7
825,Broken Physics Synth,Broken Physics patterns drive oscillator and modulation parameters,noise,bit crushing,Weird;Unsettling;Experimental,8
826,Quantum Superposition Synth,Additive synthesis recreating quantum superposition spectra,feedback,comb filtering,Abstract;Psychoacoustic;Experimental,8
827,Time Loop Synth,Additive synthesis recreating time loop spectra,wavetable,frequency shifting,Experimental;Unsettling;Abstract,8
828,Alternate Dimension Synth,Models alternate dimension behavior using advanced DSP techniques,subtractive,spectral morphing,Ambient;Unsettling;Weird,6
829,Synapse Misfire Modulator,Wavetable morphing based on synapse misfire waveforms,physical_modeling,formant filtering,Surreal;Experimental;Psychoacoustic,7
830,Void Oscillator,Models void behavior using advanced DSP techniques,sample_based,stochastic triggering,Unsettling;Abstract;Experimental,8
831,Möbius Oscillator,Hybrid synthesis combining multiple möbius characteristics,fm,comb filtering,Abstract;Surreal;Unsettling,8
832,Dream Synth,Models dream behavior using advanced DSP techniques,granular,frequency shifting,Ambient;Weird;Glitch,6
833,Perception Synth,Feedback network simulating perception dynamics,hybrid,convolution,Abstract;Unsettling;Psychoacoustic,9
834,Entropy Resonator,Entropy-inspired synthesis with unique timbral characteristics,additive,comb filtering,Ambient;Experimental;Surreal,6
835,Echo Nowhere Filter,Physical modeling of echo nowhere acoustic properties,noise,stochastic triggering,Abstract;Surreal;Unsettling,8
836,Consciousness Download Synth,Feedback network simulating consciousness download dynamics,feedback,oscillator coupling,Glitch;Unsettling;Ambient,8
837,Backwards Evolution Synth,Additive synthesis recreating backwards evolution spectra,wavetable,allpass diffusion,Unsettling;Ambient;Abstract,7
838,Probability Cloud Resonator,Hybrid synthesis combining multiple probability cloud characteristics,subtractive,spectral freeze,Glitch;Psychoacoustic;Unsettling,6
839,Inverse Mirror Resonator,Inverse Mirror-inspired synthesis with unique timbral characteristics,physical_modeling,envelope shaping,Weird;Psychoacoustic;Glitch,9
840,Nested Consciousness Synth,FM synthesis capturing nested consciousness harmonic relationships,sample_based,harmonic mapping,Surreal;Experimental;Ambient,10
841,Artifact Synth,Additive synthesis recreating artifact spectra,fm,comb filtering,Psychoacoustic;Experimental;Unsettling,6
842,Reality Seam Generator,Reality Seam-inspired synthesis with unique timbral characteristics,granular,ring modulation,Unsettling;Ambient;Experimental,9
843,Dreamcatcher Resonator,FM synthesis capturing dreamcatcher harmonic relationships,hybrid,wavefolding,Psychoacoustic;Unsettling;Ambient,6
844,Letter Frequencies Synth,Feedback network simulating letter frequencies dynamics,additive,comb filtering,Abstract;Psychoacoustic;Surreal,9
845,Ego Fragment Oscillator,Models ego fragment behavior using advanced DSP techniques,noise,chaos modulation,Experimental;Weird;Abstract,8
846,Entropy Crystal Filter,FM synthesis capturing entropy crystal harmonic relationships,feedback,convolution,Surreal;Unsettling;Abstract,8
847,Hyperbolic Engine,Feedback network simulating hyperbolic dynamics,wavetable,harmonic series,Unsettling;Experimental;Abstract,6
848,Threshold Generator,Threshold patterns drive oscillator and modulation parameters,subtractive,time stretching,Surreal;Glitch;Experimental,7
849,Memetic Infection Oscillator,Physical modeling of memetic infection acoustic properties,physical_modeling,harmonic mapping,Abstract;Ambient;Psychoacoustic,6
850,Broken Causality Engine,Hybrid synthesis combining multiple broken causality characteristics,sample_based,recursive feedback,Unsettling;Psychoacoustic;Experimental,8
851,Alternate Timeline Synth,FM synthesis capturing alternate timeline harmonic relationships,fm,stochastic triggering,Psychoacoustic;Abstract;Surreal,6
852,Emotion Mapping Synth,FM synthesis capturing emotion mapping harmonic relationships,granular,time stretching,Experimental;Unsettling;Weird,9
853,Identity Processor Engine,Hybrid synthesis combining multiple identity processor characteristics,hybrid,harmonic excitation,Ambient;Experimental;Glitch,8
854,Probability Synth,FM synthesis capturing probability harmonic relationships,additive,spectral blur,Abstract;Ambient;Weird,9
855,Void Resonance Synth,Feedback network simulating void resonance dynamics,noise,harmonic excitation,Weird;Surreal;Psychoacoustic,9
856,Decay Memory Filter,Wavetable morphing based on decay memory waveforms,feedback,bit crushing,Ambient;Experimental;Weird,9
857,Shape Tones Resonator,Additive synthesis recreating shape tones spectra,wavetable,spectral morphing,Abstract;Weird;Unsettling,8
858,Inverted Envelope Synth,Physical modeling of inverted envelope acoustic properties,subtractive,fractal generation,Glitch;Unsettling;Weird,9
859,Eternal Moment Synth,Granular processing inspired by eternal moment textures,physical_modeling,feedback routing,Psychoacoustic;Glitch;Abstract,7
860,Parallel Perception Sequencer,FM synthesis capturing parallel perception harmonic relationships,sample_based,granular density,Glitch;Abstract;Psychoacoustic,9
861,Thought-Space Synth,Wavetable morphing based on thought-space waveforms,fm,feedback routing,Psychoacoustic;Abstract;Weird,8
862,Glitch Consciousness Synth,Additive synthesis recreating glitch consciousness spectra,granular,wavefolding,Unsettling;Glitch;Surreal,10
863,Backwards Speech Generator,Backwards Speech-inspired synthesis with unique timbral characteristics,hybrid,oscillator coupling,Ambient;Glitch;Psychoacoustic,9
864,Membrane Engine,Hybrid synthesis combining multiple membrane characteristics,additive,convolution,Experimental;Surreal;Abstract,8
865,Echo Chamber Synth,Granular processing inspired by echo chamber textures,noise,comb filtering,Weird;Experimental;Psychoacoustic,7
866,Kaleidoscope Sequencer,Additive synthesis recreating kaleidoscope spectra,feedback,spectral morphing,Unsettling;Ambient;Abstract,7
867,Void Creature Resonator,FM synthesis capturing void creature harmonic relationships,wavetable,allpass diffusion,Surreal;Ambient;Glitch,10
868,Consciousness Cascade Synth,Feedback network simulating consciousness cascade dynamics,subtractive,stochastic triggering,Abstract;Psychoacoustic;Unsettling,8
869,Scent-Sound Sequencer,Scent-Sound patterns drive oscillator and modulation parameters,physical_modeling,frequency shifting,Weird;Surreal;Psychoacoustic,8
870,Entropy Reversal Synth,Granular processing inspired by entropy reversal textures,sample_based,physical resonance,Surreal;Experimental;Ambient,7
871,Impossible Interval Synth,FM synthesis capturing impossible interval harmonic relationships,fm,envelope shaping,Glitch;Abstract;Experimental,8
872,Dream Logic Synth,Feedback network simulating dream logic dynamics,granular,wavefolding,Weird;Unsettling;Ambient,7
873,Membrane Between Modulator,Membrane Between patterns drive oscillator and modulation parameters,hybrid,oscillator coupling,Weird;Abstract;Experimental,8
874,Ego Death Progression Synth,Ego Death Progression-inspired synthesis with unique timbral characteristics,additive,bit crushing,Surreal;Ambient;Unsettling,6
875,Recursive Dream Oscillator,FM synthesis capturing recursive dream harmonic relationships,noise,recursive feedback,Unsettling;Glitch;Experimental,9
876,Motion-Sound Synth,Granular processing inspired by motion-sound textures,feedback,modulation matrix,Psychoacoustic;Unsettling;Ambient,6
877,Quantum Foam Synth,Quantum Foam-inspired synthesis with unique timbral characteristics,wavetable,envelope shaping,Ambient;Unsettling;Abstract,6
878,Alternate Logic Synth,Wavetable morphing based on alternate logic waveforms,subtractive,bit crushing,Ambient;Weird;Abstract,10
879,Conscious Feedback Resonator,Granular processing inspired by conscious feedback textures,physical_modeling,recursive feedback,Surreal;Experimental;Weird,9
880,Taste-Color-Sound Engine,Physical modeling of taste-color-sound acoustic properties,sample_based,envelope shaping,Surreal;Ambient;Unsettling,7
881,Liminal Dream Synth,Feedback network simulating liminal dream dynamics,fm,harmonic excitation,Unsettling;Experimental;Psychoacoustic,9
882,Thought Crystal Resonator,Models thought crystal behavior using advanced DSP techniques,granular,granular density,Surreal;Ambient;Unsettling,7
883,Broken Mirror Engine,Hybrid synthesis combining multiple broken mirror characteristics,hybrid,wavetable scanning,Experimental;Glitch;Unsettling,6
884,Parallel Leak Synth,Parallel Leak-inspired synthesis with unique timbral characteristics,additive,modulation matrix,Abstract;Experimental;Glitch,10
885,Pain-Sound Synth,Additive synthesis recreating pain-sound spectra,noise,spectral morphing,Glitch;Abstract;Experimental,7
886,Void Echo Sequencer,Feedback network simulating void echo dynamics,feedback,formant filtering,Unsettling;Psychoacoustic;Abstract,6
887,Impossible Object Synth,Physical modeling of impossible object acoustic properties,wavetable,convolution,Unsettling;Weird;Experimental,10
888,Consciousness Threshold Processor,Feedback network simulating consciousness threshold dynamics,subtractive,allpass diffusion,Experimental;Weird;Ambient,6
889,Recursive Nest Synth,FM synthesis capturing recursive nest harmonic relationships,physical_modeling,pitch shifting,Unsettling;Surreal;Ambient,6
890,Dream-Logic Synth,Feedback network simulating dream-logic dynamics,sample_based,pitch shifting,Surreal;Weird;Abstract,8
891,Electromagnetic Generator,Electromagnetic-inspired synthesis with unique timbral characteristics,fm,formant filtering,Psychoacoustic;Glitch;Unsettling,9
892,Entropy-Driven Sequencer,Hybrid synthesis combining multiple entropy-driven characteristics,granular,sample rate reduction,Weird;Ambient;Abstract,10
893,Perceptual Filter,Perceptual-inspired synthesis with unique timbral characteristics,hybrid,phase distortion,Glitch;Surreal;Weird,10
894,Time-Reversed Generator,Additive synthesis recreating time-reversed spectra,additive,harmonic mapping,Psychoacoustic;Glitch;Ambient,10
895,Paradox Resonator Synth,Physical modeling of paradox resonator acoustic properties,noise,filter topology,Glitch;Weird;Unsettling,6
896,Gravity-Sound Synth,Physical modeling of gravity-sound acoustic properties,feedback,formant filtering,Glitch;Ambient;Weird,7
897,Void Between Synth,Hybrid synthesis combining multiple void between characteristics,wavetable,feedback routing,Ambient;Abstract;Experimental,10
898,Escher Synth,FM synthesis capturing escher harmonic relationships,subtractive,ring modulation,Experimental;Ambient;Glitch,6
899,Paradox Synth,Wavetable morphing based on paradox waveforms,physical_modeling,wavetable scanning,Abstract;Unsettling;Weird,8
900,Hypnagogic Filter,FM synthesis capturing hypnagogic harmonic relationships,sample_based,spectral morphing,Experimental;Surreal;Abstract,9
901,Conway Life Synth,Feedback network simulating conway life dynamics,hybrid,oscillator coupling,Ambient;Self-Organizing;Generative,3
902,Wolfram Sequencer,Models wolfram behavior using advanced DSP techniques,wavetable,pitch shifting,Ambient;Glitch;Chaotic,9
903,L-System Synth,Models l-system behavior using advanced DSP techniques,additive,stochastic triggering,Self-Organizing;Algorithmic;Emergent,8
904,Genetic Algorithm Synth,Wavetable morphing based on genetic algorithm waveforms,granular,envelope shaping,Glitch;Experimental;Generative,4
905,Markov Chain Synth,Markov Chain patterns drive oscillator and modulation parameters,feedback,oscillator coupling,Ambient;Chaotic;Algorithmic,2
906,Perlin Noise Filter,Physical modeling of perlin noise acoustic properties,noise,phase distortion,Generative;Ambient;Chaotic,4
907,Flocking Synth,Wavetable morphing based on flocking waveforms,fm,stochastic triggering,Emergent;Chaotic;Algorithmic,6
908,Ant Colony Synth,Ant Colony-inspired synthesis with unique timbral characteristics,subtractive,bit crushing,Chaotic;Ambient;Generative,2
909,Lorenz Synth,Lorenz patterns drive oscillator and modulation parameters,sample_based,comb filtering,Generative;Glitch;Ambient,6
910,Turing Pattern Engine,Models turing pattern behavior using advanced DSP techniques,physical_modeling,sample rate reduction,Experimental;Emergent;Algorithmic,2
911,Rossler Synth,Additive synthesis recreating rossler spectra,hybrid,frequency shifting,Algorithmic;Self-Organizing;Glitch,6
912,Henon Modulator,Models henon behavior using advanced DSP techniques,wavetable,pitch shifting,Ambient;Algorithmic;Glitch,4
913,Chua Processor,FM synthesis capturing chua harmonic relationships,additive,wavetable scanning,Algorithmic;Glitch;Emergent,2
914,Ikeda Oscillator,Models ikeda behavior using advanced DSP techniques,granular,envelope shaping,Self-Organizing;Ambient;Emergent,2
915,Tent Map Synth,Tent Map patterns drive oscillator and modulation parameters,feedback,spectral freeze,Generative;Glitch;Algorithmic,6
916,Baker Map Synth,Feedback network simulating baker map dynamics,noise,granular freeze,Generative;Experimental;Ambient,4
917,Horseshoe Synth,Horseshoe patterns drive oscillator and modulation parameters,fm,ring modulation,Emergent;Self-Organizing;Glitch,3
918,Arnold Synth,Wavetable morphing based on arnold waveforms,subtractive,harmonic mapping,Experimental;Generative;Ambient,2
919,Standard Map Synth,Standard Map patterns drive oscillator and modulation parameters,sample_based,comb filtering,Ambient;Emergent;Chaotic,5
920,Chirikov Modulator,Chirikov-inspired synthesis with unique timbral characteristics,physical_modeling,phase distortion,Emergent;Glitch;Experimental,7
921,Logistic Engine,Logistic-inspired synthesis with unique timbral characteristics,hybrid,pitch shifting,Ambient;Chaotic;Algorithmic,8
922,Mandelbrot Engine,FM synthesis capturing mandelbrot harmonic relationships,wavetable,stochastic triggering,Emergent;Ambient;Experimental,2
923,Julia Engine,Hybrid synthesis combining multiple julia characteristics,additive,spectral blur,Chaotic;Algorithmic;Generative,5
924,Newton Synth,Additive synthesis recreating newton spectra,granular,phase distortion,Chaotic;Algorithmic;Glitch,8
925,Halley Engine,Models halley behavior using advanced DSP techniques,feedback,spectral blur,Chaotic;Emergent;Glitch,7
926,Householder Synth,Householder patterns drive oscillator and modulation parameters,noise,envelope shaping,Chaotic;Self-Organizing;Glitch,9
927,Secant Synth,Additive synthesis recreating secant spectra,fm,frequency shifting,Glitch;Chaotic;Generative,8
928,Bisection Synth,Physical modeling of bisection acoustic properties,subtractive,filter topology,Ambient;Emergent;Glitch,3
929,False Position Synth,FM synthesis capturing false position harmonic relationships,sample_based,wavefolding,Ambient;Experimental;Generative,2
930,Fixed Point Sequencer,FM synthesis capturing fixed point harmonic relationships,physical_modeling,frequency shifting,Generative;Chaotic;Algorithmic,3
931,Picard Synth,Feedback network simulating picard dynamics,hybrid,stochastic triggering,Ambient;Self-Organizing;Generative,8
932,Banach Synth,Granular processing inspired by banach textures,wavetable,allpass diffusion,Experimental;Glitch;Self-Organizing,4
933,Contraction Synth,Feedback network simulating contraction dynamics,additive,comb filtering,Algorithmic;Ambient;Self-Organizing,7
934,Lipschitz Synth,Models lipschitz behavior using advanced DSP techniques,granular,comb filtering,Experimental;Glitch;Emergent,8
935,Cauchy Synth,Cauchy patterns drive oscillator and modulation parameters,feedback,pitch shifting,Emergent;Self-Organizing;Glitch,8
936,Euler Oscillator,Granular processing inspired by euler textures,noise,phase distortion,Algorithmic;Generative;Glitch,2
937,Runge-Kutta Synth,Models runge-kutta behavior using advanced DSP techniques,fm,time stretching,Generative;Algorithmic;Glitch,6
938,Adams Filter,Physical modeling of adams acoustic properties,subtractive,allpass diffusion,Generative;Ambient;Self-Organizing,8
939,Milne Synth,Hybrid synthesis combining multiple milne characteristics,sample_based,pattern sequencing,Experimental;Generative;Algorithmic,7
940,Hamming Synth,Hybrid synthesis combining multiple hamming characteristics,physical_modeling,harmonic excitation,Self-Organizing;Glitch;Ambient,6
941,Predictor Synth,Predictor-inspired synthesis with unique timbral characteristics,hybrid,wavetable scanning,Emergent;Experimental;Algorithmic,2
942,Corrector Processor,Wavetable morphing based on corrector waveforms,wavetable,feedback routing,Experimental;Glitch;Emergent,4
943,Multistep Synth,Physical modeling of multistep acoustic properties,additive,pitch shifting,Experimental;Self-Organizing;Emergent,3
944,Linear Multistep Sequencer,Additive synthesis recreating linear multistep spectra,granular,modulation matrix,Emergent;Self-Organizing;Glitch,9
945,Backward Difference Synth,FM synthesis capturing backward difference harmonic relationships,feedback,physical resonance,Ambient;Generative;Chaotic,7
